nn;word;transcription;translate
;refusal;[r??fju?z?l];отказ
1298;curriculum vitae (CV);[k??r?kj?l?m?vi?ta?];резюме, биография
1299;cheerful;[????f?l];весёлый, неунывающий
;cheerfulness;[????f?ln?s];бодрость
;cheerless;[????l?s];унылый
1300;post;[p??st];почта, почтовый
;postcard;[?p??stk??d];открытка
1301;derive;[d??ra?v];выводить, извлекать
;derivation;[?d?r??ve???n];вывод, происхождение
;derivative;[d??r?v?t?v];производный
1302;brute;[bru?t];животное, зверь, грубый
;brutal;[?bru?tl];жестокий, зверский
;brutality;[bru??t?l?ti];жестокость, зверство
1303;belt;[b?lt];пояс, опоясывать
1304;miss;[m?s];пропускать, упустить
1305;recent;[?ri?snt];недавний, последний
;recently;[?ri?sntli];в последнее время
1306;reject;[?ri???kt];отвергать
;rejection;[r????k??n];отказ, отторжение
1307;leaf (pl: leaves);[li?f];лист
1308;locate;[l???ke?t];определить местоположение
;location;[l???ke???n];местонахождение
1309;reason;[?ri?zn];разум, благоразумие
;reasonable;[?ri?zn?bl];разумный
1310;treasure;[?tr???];сокровище
;treasury;[?tr??(?)ri];казначейство
1311;former;[?f??m?];бывший
;formerly;[?f??m?li];прежде
1312;sign;[sa?n];знак
1313;failure;[?fe?lj?];неудача, провал
1314;recycle;[?ri??sa?kl];перерабатывать
1315;caution;[?k????n];осторожность, предостережение
;cautious;[?k????s];осторожный
1316;labour;[?le?b?];труд, трудиться
;labourer;[?le?b?r?];чернорабочий
;laborious;[l??b??r??s];трудоемкий
1317;do without;[du?w???a?t];обойтись без
;go without;[g??w???a?t];обходиться без
1318;spot;[sp?t];место
1319;offence (offense);[??f?ns];преступление, нарушение
1320;gang;[g??];банда, шайка
1321;pursuit;[p??sju?t];преследование
1322;age;[e??];век, эпоха
;middle ages;[?m?dl?e???z];средневековье
1323;rise (rose, risen);[ra?z];подниматься, повышение
;sunrise;[?s?nra?z];восход
1324;regret;[r??gr?t];сожалеть, сожаление
;regrettable;[r??gr?t?bl];прискорбный
1325;reserve;[r??z??v];бронировать
;reservation;[?r?z??ve???n];бронирование
1326;yet;[j?t];всё же
1327;youth;[ju??];молодёжь, молодость
;youthful;[?ju??f?l];юный, юношеский
1328;surround;[s??ra?nd];окружать
;surroundings;[s??ra?nd??z];окружение
1329;vital;[?va?tl];жизненный, жизненно важный
;vitality;[va??t?l?ti];жизнеспособность
1330;wrong;[r??];не тот
1331;insect;[??ns?kt];насекомое
1332;construction (site);[k?n?str?k??n];стройка
1333;prospect;[?pr?sp?kt];перспектива, вид будущего
;prospective;[pr?s?p?kt?v];перспективный
1334;success;[s?k?s?s];успех
;successful;[s?k?s?sf?l];успешный
;unsuccessful;[??ns?k?s?sf?l];неудачный
1335;liable;[?la??bl];подлежащий
;liability;[?la???b?l?ti];ответственность, подверженность
1336;contend;[k?n?t?nd];бороться, соперничать
;contention;[k?n?t?n??n];раздор
;contentious;[k?n?t?n??s];сварливый
1337;dream;[dri?m];сон (видение)
;daydream;[?de??dri?m];грезы
1338;whereas;[we?r??z];тогда как
1339;blow out;[bl??a?t];задуть (свечу)
1340;regard;[r??g??d];считать, рассматривать
;disregard;[?d?sr??g??d];пренебрегать
;regardless;[r??g??dl?s];несмотря на
1341;suggest;[s????st];предлагать
;suggestion;[s????s??n];предложение
1342;solve;[s?lv];решить
;unsolved;[?n?s?lvd];нерешенный
1343;confuse;[k?n?fju?z];путать
;confusion;[k?n?fju???n];путаница
1344;join;[???n];присоединить (ся)
1345;horrible;[?h?r?bl];ужасный, отвратительный
1346;take off;[te?k?f];взлететь
;takeoff;[takeoff];взлёт
1347;grow up;[gr???p];вырастать
1348;express;[?ks?pr?s];выражать
;expression;[?ks?pr???n];выражение
;expressive;[?ks?pr?s?v];выразительный
1349;take a look;[te?k?l?k];взглянуть
1350;series;[?s??ri?z];сериал
1351;conserve;[k?n?s??v];беречь, экономить
;conservation;[?k?ns?(?)?ve???n];сохранение
1352;plot;[pl?t];план, чертёж
1353;tube;[tju?b];труба
1354;minor;[?ma?n?];второстепенный, незначительный
;minority;[ma??n?r?ti];меньшинство
1355;explode;[?ks?pl??d];взрываться
;explosion;[?ks?pl????n];взрыв
;explosive;[?ks?pl??s?v];взрывной, взрывчатый, взрывчатка
1356;honest;[??n?st];честный
;honesty;[??n?sti];честность
;honestly;[??n?stli];честно говоря
;dishonest;[d?s??n?st];нечестный
1357;track;[tr?k];след, выслеживать
1358;odd;[?d];необычный, неправильный
;oddity;[??d?ti];странность
1359;guide;[ga?d];вести, направлять
;misguide;[?m?s?ga?d];вводить в заблуждение
1360;bat;[b?t];летучая мышь
1361;income;[??nk?m];доход
1362;habit;[?h?b?t];привычка, обычай
;habitual;[h??b?tj??l];привычный
1363;poison;[?p??zn];яд, травить
;poisonous;[?p??zn?s];ядовитый
1364;volume;[?v?lj?m];том, книга
1365;either;[?a???];тоже (не)
1366;fortune;[?f????n];состояние (деньги)
1367;fist;[f?st];кулак
1368;crop;[kr?p];урожай
1369;improve;[?m?pru?v];улучшить
;improvement;[?m?pru?vm?nt];улучшение
1370;loyal;[?l???l];верный, преданный
;loyalty;[?l???lti];лояльность
1371;wheel;[wi?l];колесо
1372;meet (met, met);[mi?t];встретить или познакомиться
;meeting;[?mi?t??];встреча
1373;horn;[h??n];рог
;horned;[h??nd];рогатый
1374;strip;[str?p];снимать (обнажать)
1375;sacred;[?se?kr?d];священный
;sacrament;[?s?kr?m?nt];таинство
;sacramental;[?s?kr??m?ntl];священный
1376;dip;[d?p];окунать, погружать
;dipper;[?d?p?];ковш
1377;fence;[f?ns];забор, огораживать
1378;deep;[di?p];глубокий
1379;dismiss;[d?s?m?s];отклонить, отбросить
;dismissal;[d?s?m?s?l];отклонение
1380;otherwise;[????wa?z];иначе, иным образом
1381;damn (goddamn);[d?m];проклятый, проклинать
;damnation;[d?m?ne???n];проклятие
;damned;[d?md];проклятый
;damn!;[d?m!];чёрт!
1382;perhaps;[p??h?ps];возможно
1383;junior;[??u?nj?];младший
;jr.;;мл.
1384;district;[?d?str?kt];район, округ и т. п.
1385;take part;[te?kp??t];принимать участие
1386;eligible;[??l???bl];имеющий право
;ineligible;[?n??l???bl];неподходящий
;eligibility;[??l????b?l?ti];приемлемость
1387;hazard;[?h?z?d];опасность, риск, угроза
;hazardous;[?h?z?d?s];опасный
1388;strike;[stra?k];забастовка
1389;feed (fed, fed);[fi?d];кормить
;fed up (with);[f?d?p];сыт по горло
1390;supply;[s??pla?];поставлять, поставка
;supplier;[s??pla??];поставщик
1391;poor;[p??];бедный
;poorness;[?p??n?s];бедность
1392;convince;[k?n?v?ns];убеждать
1393;tie;[ta?];галстук, завязка и т.п.
1394;escape;[?s?ke?p];избежать, спастись
;escapee;[escapee];беглец
1395;mine;[ma?n];мина
1396;let smb in;[l?tsmb?n];впустить
;let smb out;[l?tsmba?t];выпустить
1397;pour;[p??];лить
;downpour;[?da?np??];ливень
1398;expect;[?ks?p?kt];ожидать (события)
;unexpected;[??n?ks?p?kt?d];непредвиденный
;expectation;[??ksp?k?te???n];ожидание
1399;within;[w????n];в пределах, внутри
1400;confer;[k?n?f??];совещаться
;conference;[?k?nf?r?ns];совещание
1401;nest;[n?st];гнездо, гнездиться
1402;board;[b??d];доска
;billboard;[?b?lb??d];рекламный щит
;keyboard;[?ki?b??d];клавиатура
;board game;[b??dge?m];настольная игра
1403;core;[k??];ядро, сердцевина, сущность
1404;apply;[??pla?];обращаться (с заявлением)
;application;[??pl??ke??(?)n];заявление
;applicant;[??pl?k?nt];заявитель
1405;combat;[?k?mb?t];бой
;combative;[?k?mb?t?v];боевой
1406;loan;[l??n];заём, ссуда
1407;council;[?ka?ns(?)l];совет (орган)
1408;flaw;[fl??];изъян
;flawless;[?fl??l?s];безупречный
1409;wealth;[w?l?];богатство
;wealthy;[?w?l?i];состоятельный
1410;employ;[?m?pl??];нанимать на работу
;employer;[?m?pl???];работодатель
;employee;[??mpl???i?];работник
;employment;[?m?pl??m?nt];занятость
;unemployment;[??n?m?pl??m?nt];безработица
1411;drive (drove, driven);[dra?v];двигать, гнать
1412;eat up;[i?t?p];съесть полностью
1413;attitude;[??t?tju?d];отношение
1414;software;[?s?ftwe?];программое обеспечение
1415;chase;[?e?s];погоня, гнаться
1416;infant;[??nf?nt];ребёнок
;infancy;[??nf?nsi];младенчество
1417;allege;[??l??];утверждать, приписывать
;alleged;[??l??d];мнимый
;allegation;[??l??ge??(?)n];утверждение (голословное)
1418;bond;[b?nd];обязательство, облигация
1419;trunk;[tr??k];багажник
1420;item;[?a?t?m];пункт, номер, предмет
1421;garden;[?g??dn];сад
;gardener;[?g??dn?];садовник
;gardening;[?g??dn??];садоводство
1422;dust;[d?st];пыль
;dusty;[?d?sti];пыльный
1423;attend;[??t?nd];уделить внимание, посетить
;attention;[??t?n?(?)n];внимание
;attendance;[??t?nd?ns];посещаемость
;attentive;[??t?nt?v];внимательный
1424;spread (spread, spread);[spr?d];распространять(ся)
1425;bound;[ba?nd];обязан
1426;acid;[??s?d];кислота
;acidic;[??s?d?k];кислотный
;acidity;[??s?d?ti];кислотность
1427;appear;[??p??];появиться
;disappear;[?d?s??p??];исчезать
;appearance;[??p??r?ns];появление
;disappearance;[?d?s??p??r?ns];исчезновение
1428;bury;[?b?ri];хоронить
;burial;[?b?r??l];захоронение
1429;generation;[???n??re???n];поколение
1430;stare;[ste?];пялиться, пристальный взгляд
1431;judge;[????];судья, судить (втч. перен)
;judgment;[????m?nt];суждение
1432;arms;[??mz];оружие
;armament;[???m?m?nt];вооружение
;armed;[??md];вооруженный
;disarm;[d?s???m];разоружать
;firearm;[?fa??r??m];огнестрельное оружие
1433;plain;[ple?n];ровный, равнина
1434;slice;[sla?s];ломтик, нарезать
1435;feel (felt, felt);[fi?l];трогать, щупать
1436;valid;[?v?l?d];действительный
;validate;[?v?l?de?t];утверждать
;invalidate;[?n?v?l?de?t];аннулировать
;validation;[?v?l??de???n];проверка, утверждение
;validity;[v??l?d?ti];период действия
1437;inevitable;[?n??v?t?bl];неизбежный
1438;stress;[str?s];подчеркнуть, заострить внимание
1439;fee;[fi?];плата или гонорар
1440;put through;[p?t?ru?];подвергнуть
1441;worry;[?w?ri];волновать (ся)
1442;essential;[??s?n??l];необходимый, существенный
;essentially;[??s?n??li];в сущности
1443;wire;[?wa??];проволока, провод
;wireless;[?wa??l?s];беспроводной
1444;commitment;[k??m?tm?nt];обязательство
1445;remind;[?r?ma?nd];напомнить
;reminder;[r??ma?nd?];напоминание
1446;mine;[ma?n];шахта, рудник
;miner;[?ma?n?];шахтер
1447;sweat;[sw?t];пот, потеть
;sweaty;[?sw?ti];потный
1448;ought;[??t];должен, обязан
1449;edit;[??d?t];редактировать, монтировать
;edition;[??d???n];издание
;editor;[??d?t?];редактор
;editorial;[??d??t??r??l];редакционный
1450;single;[?s??gl];один, отдельный, единый
1451;advantage;[?d?v??nt??];преимущество
;disadvantage;[?d?s?d?v??nt??];недостаток
;advantageous;[??dv?n?te???s];выгодный
1452;sink;[s??k];раковина
1453;transmit;[tr?nz?m?t];передавать, переносить
;transmission;[tr?nz?m???n];передача
1454;helpful;[?h?lpf?l];полезный
;unhelpful;[?n?h?lpf?l];бесполезный
1455;cheek;[?i?k];щека
1456;swell (swelled, swollen);[sw?l];раздуваться, распухать
1457;cause;[k??z];причина, быть причиной
;caused;[k??zd];вызванный
1458;pad;[p?d];блокнот
1459;tap;[t?p];кран
1460;persist;[p??s?st];упорствовать
;persistent;[p??s?st?nt];стойкий
;persistence;[p??s?st?ns];упорство
1461;counsel;[?ka?ns(?)l];совет, консультация
;counselor;[?ka?ns(?)l?];консультант
1462;cell;[s?l];ячейка, клетка
;cell phone;[s?lf??n];сотовый телефон
1463;arise (arose, arisen);[??ra?z];возникать, происходить
1464;bow;[ba?];поклон, наклоняться
1465;point;[p??nt];очко
1466;subject;[?s?b??kt];подверженный, подвергать
1467;cloth;[kl??];ткань, тряпка
1468;wear out;[we?ra?t];измотать, истрепать
;wear down;[we?da?n];изнашиваться
1469;equal;[?i?kw?l];равный, равняться
;equality;[i(?)?kw?l?ti];равенство
;unequal;[?n?i?kw?l];неравный
;unequality;[??ni(?)?kw?l?ti];неравенство
;equally;[?i?kw?li];в равной степени
;equalize;[?i?kw?la?z];уравнять
1470;likely;[?la?kli];вероятно
;unlikely;[?n?la?kli];вряд ли
1471;joint;[???nt];сустав, шарнир, стык и т. д.
1472;floor;[fl??];пол
1473;wave;[we?v];махать, колебаться
1474;close down;[kl??sda?n];закрыться (насовсем)
;shut down;[??tda?n];закрыться
;shutdown;[???tda?n];закрытие
1475;nail;[ne?l];гвоздь, прибивать
1476;lovely;[?l?vli];чудесный, милый
;loveliness;[?l?vl?n?s];миловидность
1477;authority;[?????r?ti];власть, авторитет
1478;note;[n??t];заметка, запись
;notable;[?n??t?bl];примечательный
;footnote;[?f?tn??t];сноска
1479;native;[?ne?t?v];родной
1480;carve;[k??v];вырезать (напр. из дерева)
;carving;[?k??v??];резьба
1481;designate;[?d?z?gn?t];обозначать, называть
;designation;[?d?z?g?ne???n];обозначение
1482;mental;[?m?ntl];умственный
;mentality;[m?n?t?l?ti];склад ума
1483;newspaper;[?nju?z?pe?p?];газета
1484;tune;[tju?n];мелодия, мотив
1485;foster;[?f?st?];приёмный (ребёнок)
1486;gasp;[g??sp];задыхаться, ловить воздух
1487;wildlife;[?wa?ldla?f];дикая природа
1488;sharp;[???p];острый
;sharpness;[????pn?s];острота
;sharpen;[????p?n];точить
1489;corn;[k??n];кукуруза, зерно
1490;comfort;[?k?mf?t];утешать, утешение
1491;obvious;[??bv??s];очевидный
1492;title;[?ta?tl];заголовок
;subtitle;[?s?b?ta?tl];подзаголовок
1493;pass;[p??s];пройти
;passable;[?p??s?bl];проходимый
1494;outrage;[?a?tre??];произвол, насилие, поругание
;outrageous;[a?t?re???s];возмутительный
1495;since;[s?ns];поскольку
1496;own;[??n];владеть
;owner;[???n?];владелец
;ownership;[???n???p];владение
1497;go bad;[g?? b?d];испортиться
1498;outcome;[?a?tk?m];результат, исход
1499;convert;[?k?nv??t];преобразовывать
;conversion;[k?n?v????n];преобразование
1500;reside;[r??za?d];проживать (где-то)
;residence;[?r?z?d?ns];место проживания
;resident;[?r?z?d?nt];резидент, житель
1501;betray;[b??tre?];предавать
;betrayal;[b??tre??l];предательство
1502;injure;[??n??];ранить, наносить ущерб
;injury;[??n??ri];травма
1503;gradual;[?gr?dj??l];постепенный
1504;special;[?sp???l];особенный, специальный
;especially;[?s?p???li];особенно
1505;rotate;[r???te?t];сменять, чередовать
;rotation;[r???te???n];вращение
1506;implement;[??mpl?m?nt];осуществлять
;implementation;[??mpl?m?n?te???n];осуществление
1507;tip (tips);[t?p];чаевые
1508;settle;[?s?tl];селиться
;settlement;[?s?tlm?nt];поселок
;settler;[?s?tl?];поселенец
1509;pepper;[?p?p?];перец
1510;thorough;[???r?];тщательный, полный
;thoroughness;[???r?n?s];тщательность
1511;sole;[s??l];подошва
1512;fend off;[f?nd?f];защищаться
1513;Jew;[?u?];еврей
;Jewish;[??u(?)??];еврейский, иудейский
1514;differ;[?d?f?];отличаться
1515;cheat;[?i?t];жульничать
;cheater;[??i?t?];жулик
1516;deliberate;[d??l?b?r?t];обдуманный, преднамеренный
;deliberation;[d??l?b??re???n];обдумывание
1517;polish;[?p?l??];шлифовать, полировать
1518;external;[?ks?t??nl];внешний
1519;internal;[?n?t??nl];внутренний
;internalize;[?n?t??n??la?z];усваивать
1520;show off;[????f];показать всем, похвастаться
1521;bunch;[b?n?];связка, пучок, группа
1522;swing (swung, swung);[sw??];качать, махать
1523;scholar;[?sk?l?];учёный
;scholarship;[?sk?l???p];учёность
1524;steam;[sti?m];пар
;steamy;[?sti?mi];"парообразный, насыщенный
паром"
;steamship;[?sti?m??p];пароход
1525;helpless;[?h?lpl?s];беспомощный
;helplessness;[?h?lpl?sn?s];беспомощность
1526;universe;[?ju?n?v??s];вселенная
;universal;[?ju?n??v??s?l];всеобщий
1527;fellow;[?f?l??];парень, человек
1528;stage;[ste??];сцена
;offstage;[??f?ste??];закулисный
;backstage;[?b?k?ste??];закулисный
1529;correspond;[?k?r?s?p?nd];соответствовать
;correspondence;[?k?r?s?p?nd?ns];соответствие
1530;board;[b??d];борт, подниматься на борт
;boarding;[?b??d??];посадка
1531;look at;[l?k?t];рассмотреть, обдумать
1532;interpret;[?n?t??pr?t];истолковывать
;interpretation;[?n?t??pr??te???n];толкование
;misinterpret;[?m?s?n?t??pr?t];ошибочно истолковывать
1533;brush;[br??];кисть, щётка, чистить
1534;thrill;[?r?l];трепет, дрожь, дрожать
;thrilling;[??r?l??];захватывающий
1535;sell out of;[s?la?t?v];распродать (весь товар)
1536;intelligence;[?n?t?l???ns];разведка
1537;assist;[??s?st];помогать
;assistance;[??s?st?ns];помощь
;assistant;[??s?st?nt];помощник
;shop assistant;[??p ??s?st?nt];продавец
1538;part;[p??t];роль
1539;draft;[dr??ft];тяга, сквозняк
1540;desire;[d??za??];желание, желать
;desirable;[d??za??r?bl];желательный
;undesirable;[??nd??za??r?bl];нежелательный
1541;eliminate;[??l?m?ne?t];устранять, ликвидировать
;elimination;[??l?m??ne???n];устранение
1542;fly;[fla?];муха
;dragonfly;[?dr?g?nfla?];стрекоза
1543;try out;[tra?a?t];испытать
1544;distinguish;[d?s?t??gw??];выделять, отличать
;distinguishable;[d?s?t??gw???bl];различимый
;indistinguishable;[?nd?s?t??gw???bl];неразличимый
1545;legislation;[?l???s?le???n];законодательство
;legislature;[?l???sle???];законодательная власть
;legislate;[?l???sle?t];законодательствовать
;legislator;[?l???sle?t?];законодатель
;legislative;[?l???sl?t?v];законодательный
1546;simple;[?s?mpl];простой, обычный
;simplicity;[s?m?pl?s?ti];простота
;simplify;[?s?mpl?fa?];упрощать
;simplification;[?s?mpl?f??ke???n];упрощение
1547;exit;[??ks?t];выход, выходить
1548;speak out;[spi?ka?t];высказать
1549;ski;[ski?];ездить на лыжах
1550;devastate;[?d?v?ste?t];опустошать, разорять
;devastation;[?d?v?s?te???n];разорение
1551;see to;[si?tu?];заняться, позаботиться
1552;coat;[k??t];пальто
1553;bump;[b?mp];удар, ударять
1554;head for;[h?df??];направляться
1555;tank;[t??k];бак
1556;ultimate;[??lt?m?t];окончательный, конечный
;ultimately;[??lt?m?tli];в конечном счёте
1557;sensitive;[?s?ns?t?v];чувствительный
;sensitivity;[?s?ns??t?v?ti];чувствительность
;insensitive;[?n?s?ns?t?v];нечувствительный
;insensitivity;[insensitivity];нечувствительность
1558;give birth to;[g?vb???tu?];родить
1559;guess;[g?s];угадывать, догадываться
1560;recruit;[r??kru?t];набирать, вербовать
;recruitment;[r??kru?tm?nt];набор персонала
1561;future;[?fju???];будущий, будущее
1562;harsh;[h???];резкий, суровый, грубый
;harshness;[?h???n?s];резкость
1563;desperate;[?d?sp?r?t];отчаянный, безвыходный
;desperation;[?d?sp??re???n];безрассудство
1564;enrol (enroll);[?n?r??l];записать (в члены), набрать
;enrolment;[?n?r??lm?nt];регистрация
1565;excuse;[?ks?kju?s];повод, оправдание, извинить
;excusable;[?ks?kju?z?bl];простительный
;inexcusable;[??n?ks?kju?z?bl];непростительный
1566;patrol;[p??tr??l];патруль
1567;estimate;[??st?m?t];примерно оценивать
;estimation;[??st??me???n];оценка
;underestimate;[??nd??r?st?m?t];недооценивать
;overestimate;[???v??r?st?m?t];переоценивать
1568;shrug;[?r?g];пожать плечами
1569;attack;[??t?k];нападать, нападение
1570;interrupt;[??nt??r?pt];прерывать, перебивать
;interruption;[??nt??r?p??n];прерывание
;uninterrupted;[??n??nt??r?pt?d];непрерывный
1571;delight;[d??la?t];восторг
;delightful;[d??la?tf?l];восхитительный
1572;creep (crept, crept);[kri?p];ползти, красться
1573;discover;[d?s?k?v?];открыть (новое)
;discovery;[d?s?k?v?ri];открытие
1574;height;[ha?t];высота, рост
;heighten;[?ha?tn];повышать
1575;nutrition;[nju(?)?tr???n];питание
;nutritionist;[nju(?)?tr???n?st];диетолог
1576;bring out;[br??a?t];выпустить (новинку и т.д.)
;roll out;[r??la?t];выпустить
1577;drills;[dr?lz];тренировка, учение
1578;mood;[mu?d];настроение
;moody;[?mu?di];капризный
;moody 2;[?mu?di2];унылый
1579;flesh;[fl??];плоть, мясо
1580;develop;[d??v?l?p];развивать, разрабатывать
;development;[d??v?l?pm?nt];развитие
1581;lot;[l?t];жребий, судьба
;lottery;[?l?t?ri];лотерея
1582;buy;[ba?];верить, соглашаться (разг.)
1583;prompt;[pr?mpt];срочный, оперативный
1584;last;[l??st];длиться
;lasting;[?l??st??];долговечный
;everlasting;[??v??l??st??];вечный, бесконечный
1585;stand out;[st?nda?t];выделяться
1586;abuse;[??bju?s];злоупотреблять
1587;tent;[t?nt];палатка, шатёр
1588;ride;[ra?d];ездить
1589;long for;[l??f??];желать или скучать
;longing;[?l????];желание
1590;fair;[fe?];справедливый, честный
;fairness;[?fe?n?s];справедливость
;unfair;[?n?fe?];несправедливый
1591;gender;[???nd?];пол
1592;journey;[????ni];путешествие
1593;spy (on);[spa?];шпион, шпионить
;espionage;[??sp???n???];шпионаж
1594;ask out;[??ska?t];пригласить сходить
;take out;[te?ka?t];взять сходить
;go out;[g??a?t];сходить куда-нибудь
1595;flat;[fl?t];квартира
1596;capacity;[k??p?s?ti];способность, возможность
;incapacity;[??nk??p?s?ti];неспособность
1597;wine;[wa?n];вино
;winery;[?wa?n?ri];винный завод
1598;put together;[p?tt??g???];собирать, соединять
;piece together;[pi?st??g???];собрать (по кускам)
;fit together;[f?tt??g???];подходить друг другу
1599;figure out;[?f?g?ra?t];понять, придумать
;sort out;[s??ta?t];разобраться
;work out;[w??ka?t];найти решение
1600;responsible;[r?s?p?ns?bl];ответственный
;irresponsible;[??r?s?p?ns?bl];безответственный
;responsibility;[r?s?p?ns??b?l?ti];обязанность
1601;sentence;[?s?nt?ns];приговор
1602;switch;[sw??];переключать, переключатель
1603;cancel;[?k?ns?l];отменять
;cancellation;[?k?ns??le???n];отмена
1604;scratch;[skr??];царапать, царапина
1605;source;[s??s];источник
1606;sheet;[?i?t];лист
1607;manage;[?m?n??];справляться, управлять
;management;[?m?n??m?nt];управление
;manage to;[?m?n??tu?];справиться с (задачей)
;manage without;[?m?n??w???a?t];обойтись без
1608;corner;[?k??n?];угол
;cornered;[?k??n?d];загнанный в угол
1609;fright;[fra?t];испуг
;frighten;[?fra?tn];пугать
;frightful;[?fra?tf?l];ужасный
1610;stable;[?ste?bl];устойчивый
;unstable;[?n?ste?bl];неустойчивый
;stability;[st??b?l?ti];устойчивость
;instability;[??nst??b?l?ti];неустойчивость
;stabilise;[?ste?b?la?z];стабилизировать
1611;occur to;[??k??tu?];прийти в голову
1612;associate;[??s?????t];общаться, связываться
1613;apparent;[??p?r?nt];явный, видимый
;apparently;[??p?r?ntli];по всей видимости
1614;east;[i?st];восток
;eastern;[?i?st?n];восточный
1615;survey;[?s??ve?];обзор, исследование
1616;store;[st??];магазин
;bookstore;[?b?kst??];книжный магазин
;drugstore;[?dr?gst??];аптека
1617;rid;[r?d];освобождать, избавлять
1618;reception;[r??s?p??n];прием, приёмная
;receptionist;[r??s?p??n?st];администратор
1619;at all;[?t??l];совсем
1620;suit;[sju?t];подходить, соответствовать
;suitable;[?sju?t?bl];подходящий
;unsuitable;[?n?sju?t?bl];неподходящий
1621;constitute;[?k?nst?tju?t];составлять, образовывать
;constituent;[k?n?st?tj??nt];составная часть
1622;go ahead;[g????h?d];взять (и сделать)
1623;village;[?v?l??];деревня
;villager;[?v?l???];селянин
1624;scale;[ske?l];взбираться
1625;accord;[??k??d];согласие
;accordance;[??k??d?ns];соответствие
1626;latter;[?l?t?];последний (из названных)
1627;former;[?f??m?];первый (из названных)
1628;pine;[pa?n];сосна
1629;wipe;[wa?p];вытирать, салфетка
1630;clue;[klu?];ключ, нить, улика
;clueless;[?klu?l?s];невежественный
1631;visit;[?v?z?t];посетить, посещение
;visitor;[?v?z?t?];посетитель
1632;sensation;[s?n?se???n];ощущение
1633;discount;[?d?ska?nt];скидка
1634;torture;[?t????];пытка, мучить
1635;guest;[g?st];гость
1636;rear;[r??];задний
1637;degree;[d??gri?];степень (во всех значениях)
1638;treat;[tri?t];обращаться, иметь дело
;treatment;[?tri?tm?nt];обращение
;mistreat;[m?s?tri?t];дурно обращаться
;mistreatment;[m?s?tri?tm?nt];плохое обращение
1639;assert;[??s??t];утверждать, отстаивать
;assertion;[??s???(?)n];утверждение
1640;snake;[sne?k];змея
1641;bone;[b??n];кость
;bony;[?b??ni];костлявый
1642;peer;[p??];ровня, ровесник
1643;obtain;[?b?te?n];получить, обрести
1644;entertain;[??nt??te?n];развлекать
;entertainment;[??nt??te?nm?nt];развлечение
1645;lobby;[?l?bi];вестибюль, фойе, прихожая
1646;gamble;[?g?mbl];азартная игра, играть
;gambler;[?g?mbl?];игрок
1647;via;[?va??];через
1648;put out;[p?ta?t];потушить
1649;pretend;[pr??t?nd];притворяться
;pretense;[pr??t?ns];притворство
1650;past;[p??st];прошлый, прошедший
1651;date;[de?t];свидание, встречаться
1652;local;[?l??k?l];местный, местный житель
;locality;[l???k?l?ti];место, местность
1653;breath;[br??];дыхание, вздох
;breathtaking;[?br???te?k??];захватывающий
1654;struggle;[?str?gl];бороться, борьба
1655;outline;[?a?tla?n];контур, очертание, очертить
1656;interfere;[??nt??f??];вмешиваться, мешать
;interference;[??nt??f??r?ns];вмешательство
1657;decade;[?d?ke?d];десятилетие
1658;plain;[ple?n];простой, незамысловатый
1659;set smb back;[s?tsmbb?k];задержать
;setback;[?s?tb?k];задержка, препятствие, регресс
1660;weapon;[?w?p?n];оружие
;weaponry;[?w?p?nri];вооружения
1661;member;[?m?mb?];член
;membership;[?m?mb???p];членство
1662;customer;[?k?st?m?];клиент
1663;put up;[p?t ?p];устроить (напр. драку)
1664;case;[ke?s];ящик, футляр, чехол
1665;melt;[m?lt];таять, плавить(ся)
;meltdown;[?m?ltda?n];расплавление
1666;surgery;[?s????ri];хирургия, операция
;surgical;[?s????k?l];хирургический
;surgeon;[?s????n];хирург
1667;fame;[fe?m];известность, слава
;defamation;[?d?f??me???n];клевета, поношение
1668;mean (meant, meant);[mi?n];иметь в виду
1669;factory;[?f?kt?ri];фабрика, завод
1670;ahead;[??h?d];вперёд, впереди
1671;tame;[te?m];ручной, приручать
1672;collect;[k??l?kt];собирать
;collection;[k??l?k??n];собрание, коллекция
1673;joint;[???nt];совместный, объединённый
1674;domestic;[d???m?st?k];внутренний (о политике)
1675;boot;[bu?t];сапог, ботинок
1676;divorce;[d??v??s];развод, разводиться
1677;shortage;[????t??];нехватка
1678;purpose;[?p??p?s];цель, причина
;purposely;[?p??p?sli];намеренно
;purposeful;[?p??p?sf?l];целенаправленный
;purposeless;[?p??p?sl?s];бесцельный
1679;noon;[nu?n];полдень
;forenoon;[?f??nu?n];утро
;afternoon;[???ft??nu?n];после полудня
1680;immediate;[??mi?di?t];немедленный, непосредственный
1681;billion;[?b?lj?n];миллиард
;billionaire;[?b?lj??ne?];миллиардер
1682;succeed;[s?k?si?d];достичь цели
1683;staff;[st??f];персонал
1684;utilize;[?ju?t??la?z];использовать
;utilization;[?ju?t?la??ze???n];использование
1685;portray;[p???tre?];изображать, показывать
;portrayal;[p???tre??l];изображение
1686;revise;[r??va?z];пересматривать, проверять
;revision;[r??v???n];перемотр
1687;replace;[r??ple?s];заменить
;replacement;[r??ple?sm?nt];замена
;replaceable;[r??ple?s?bl];заменяемый
;irreplaceable;[??r??ple?s?bl];незаменимый
1688;clip;[kl?p];отсекать, обрезать
1689;care;[ke?];забота, уход
1690;specific;[sp??s?f?k];конкретный
;specificity;[?sp?s??f?s?ti];специфика
